title;price;discount;developer;publisher;tags;release_date;valoration;reviews;stock;descarga;f2p
Hell Architect;15.62€;-26%;Woodland Games;Leonardo Interactive;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];18 agosto 2021;;0;Fuera de stock;;False
Eco;14.09€;-51%;Strange Loop Games;Strange Loop Games;['Un solo jugador', 'Indies', 'Simulación', 'Early Access'];6 febrero 2018;;0;Fuera de stock;;False
WRC 10 Arena Panzerplatte SSS;3.99€;-20%;KT Racing;Nacon;['Un solo jugador', 'Carreras', 'Simulación', 'Deporte', '\nDLC\n'];2 septiembre 2021;;0;En stock;Descarga digital;False
Breach & Clear: Deadline;2.26€;-77%;Mighty Rabbit Studios;Good Shepherd Entertainment;['Un solo jugador', 'Acción', 'Indies', 'RPG', 'Estrategia'];21 julio 2015;3;2;En stock;Descarga digital;False
Hot Wheels Unleashed - Ultimate Stunt Edition;26.98€;-70%;Milestone S.r.l.;Milestone S.r.l.;['Un solo jugador', 'Carreras'];30 septiembre 2021;10;16;Fuera de stock;;False
Hot Wheels Unleashed - Collectors Edition;26.98€;-61%;Milestone S.r.l.;Milestone S.r.l.;['Un solo jugador', 'Carreras'];30 septiembre 2021;10;16;Fuera de stock;;False
ALTF4;;;PUMPKIM;PUMPKIM;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];12 noviembre 2021;;0;Fuera de stock;;False
Whatever;;;Napas Torteeka;Napas Torteeka;['Un solo jugador', 'Acción', 'Aventura', 'Carreras', 'Simulación'];20 octubre 2022;;0;Fuera de stock;;False
Heroes & Generals;;;TLM Partners;TLM Partners;['Acción', 'Aventura', 'Cooperativo online', 'Cooperación', 'Early Access', 'FPS', 'Free to Play', 'Indies', 'PvP online', 'MMO', 'Multijugador', 'Simulación', 'Estrategia', 'Wargame'];18 octubre 2016;;0;;;True
War Thunder;;;Gaijin Entertainment;Gaijin Distribution KFT;['Acción', 'Cooperativo online', 'Un solo jugador', 'Simulación', 'Wargame'];15 agosto 2013;10;9;;;True
Trove;;;gamigo US Inc.;gamigo US Inc.;['Acción', 'Aventura', 'Cooperación', 'FPS', 'Free to Play', 'MMO', 'Multijugador', 'PvP online', 'RPG'];9 julio 2015;;0;;;True
Warframe;;;Digital Extremes;Digital Extremes;['Acción', 'Cooperativo online', 'Cooperación', 'FPS', 'RPG'];25 marzo 2013;10;2;;;True
Crossout;;;Targem Games;Gaijin Distribution KFT;['Acción', 'Aventura', 'Carreras'];27 julio 2017;10;2;;;True
Conqueror's Blade;;;Booming Tech;MY.GAMES;['Acción', 'Aventura', 'Cooperación', 'FPS', 'Cooperativo online', 'Estrategia', 'Wargame'];30 mayo 2019;10;2;;;True
Brawlhalla;;;Blue Mammoth Games;Ubisoft;['Acción', 'Cooperativo online', 'Cooperativo local', 'Lucha', 'Cooperación', 'Free to Play', 'Indies', 'PvP online', 'Multijugador', 'Multijugador multiplataforma', 'Plataformas', 'Remote Play Together', 'Un solo jugador'];17 octubre 2017;10;6;;;True
Creativerse;;;Playful Corp.;Playful Corp.;['Acción', 'Aventura', 'Cooperación', 'Early Access', 'Indies', 'RPG', 'Simulación'];8 mayo 2017;10;1;;;True
Eve Online;;;CCP;CCP;['Acción', 'RPG', 'Simulación', 'Estrategia'];6 mayo 2003;;0;;;True
Counter-Strike: Global Offensive;;;Hidden Path Entertainment;Valve;['Acción', 'Cooperativo online', 'Cooperación', 'FPS', 'Estrategia', 'Wargame'];21 agosto 2012;9;7;;;True
Path of Exile;;;Grinding Gear Games;Grinding Gear Games;['Acción', 'Aventura', 'Cooperativo online', 'Free to Play', 'Indies', 'Un solo jugador', 'MMO', 'Multijugador', 'PvP online', 'RPG'];23 octubre 2013;10;3;;;True
Alien Swarm;;;Valve;Valve;['Acción', 'Aventura', 'Cooperativo online', 'Cooperación', 'Free to Play', 'Un solo jugador', 'Remote Play Together', 'Estrategia'];19 julio 2010;;0;;;True
Gone Viral;2.33€;-88%;Skullbot Games;Surefire.Games;['Un solo jugador', 'Acción', 'Indies'];31 agosto 2021;;0;En stock;Descarga digital;False
Shadows: Heretic Kingdoms;9.21€;-69%;Games Farm;Kalypso Media Digital;['Un solo jugador', 'Indies', 'RPG'];20 noviembre 2014;;0;En stock;Descarga digital;False
NBA 2K22 NBA 75th Anniversary Edition;21.01€;-79%;Visual Concepts;2K;['Un solo jugador', 'Simulación', 'Deporte'];10 septiembre 2021;6;52;Fuera de stock;;False
Tools Up! Garden Party - Episode 3: Home Sweet Home;2.44€;-51%;The Knights of Unity;All in! Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Simulación', '\nDLC\n'];25 agosto 2021;;0;En stock;Descarga digital;False
Space Pioneer;6.13€;-39%;Vivid Games S.A.;Vivid Games S.A.;['Un solo jugador', 'Acción'];25 agosto 2021;;0;En stock;Descarga digital;False
A Total War Saga: TROY Mythic Edition;56.30€;-25%;Feral Interactive (Mac);Feral Interactive (Mac);['Un solo jugador', 'Acción', 'Simulación', 'Estrategia'];2 septiembre 2021;6;8;Fuera de stock;;False
A Total War Saga: TROY Heroic Edition;46.98€;-51%;Feral Interactive (Mac);Feral Interactive (Mac);['Un solo jugador', 'Acción', 'Simulación', 'Estrategia'];2 septiembre 2021;6;8;Fuera de stock;;False
Park Beyond;39.89€;-20%;Limbic Entertainment;Bandai Namco Europe S.A.S.;['Un solo jugador', 'Simulación', 'Estrategia'];16 junio 2023;;;;;False
War Hospital;25.99€;-42%;Brave Lamb Studio S.A.;Nacon;['Un solo jugador', 'Estrategia'];31 agosto 2023;;;;;False
ExeKiller;;;Paradark Studio;Paradark Studio;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];2024;;;;;False
Marvel's Midnight Suns - Europe;23.69€;-61%;Firaxis Games;2K;['Un solo jugador', 'RPG', 'Estrategia'];2 diciembre 2022;10;12;Fuera de stock;;False
Guild of Dungeoneering;3.32€;-83%;Gambrinous;Gambrinous;['Un solo jugador', 'Indies', 'RPG'];14 julio 2015;8;6;En stock;Descarga digital;False
Synced;;;NEXT Studios;Level Infinite;['PvP online', 'Acción', 'Aventura'];2023;;;;;False
The Big Con;4.96€;-60%;Mighty Yell;Skybound Games;['Un solo jugador', 'Aventura', 'Indies'];31 agosto 2021;;0;En stock;Descarga digital;False
Wasteland 3 : Cult of the Holy Detonation;;;inXile Entertainment;inXile Entertainment;['Un solo jugador', 'RPG', 'Estrategia', '\nDLC\n'];5 octubre 2021;;0;Fuera de stock;;False
Myst;;;Cyan Worlds Inc;Cyan Worlds Inc;['Un solo jugador', 'Aventura', 'Indies'];26 agosto 2021;;0;;;False
Grit;;;Team GRIT;Team GRIT;['PvP online', 'Acción', 'Early Access'];2023;;;;;False
Vapour Part 1;1.34€;-87%;Skermunkel;Skermunkel;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];3 julio 2015;;0;Fuera de stock;;False
Company of Heroes 2: The British Forces;3.04€;-77%;Feral Interactive (Linux);Feral Interactive (Linux);['Estrategia'];3 septiembre 2015;;0;Fuera de stock;;False
Power & Revolution 2021 Edition;33.22€;-34%;Eversim;Eversim;['Un solo jugador', 'Simulación', 'Estrategia'];4 agosto 2021;6;5;Fuera de stock;;False
Power & Revolution 2021 Steam Edition - God'n Spy Add-on;8.99€;-25%;Eversim;Eversim;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];4 agosto 2021;;0;Fuera de stock;;False
Warhammer: End Times - Vermintide Collector's Edition Upgrade;2.32€;-85%;Fatshark;Fatshark;['Un solo jugador', 'Acción', '\nDLC\n'];23 agosto 2016;;0;En stock;Descarga digital;False
Lisa;8.42€;-16%;Dingaling;Dingaling Productions, LLC;['Un solo jugador', 'Aventura', 'Indies', 'RPG'];15 diciembre 2014;10;1;Fuera de stock;;False
Glitchpunk;11.77€;-41%;Dark Lord;Daedalic Entertainment;['Un solo jugador', 'Acción', 'Indies', 'Early Access'];11 agosto 2021;;0;En stock;Descarga digital;False
Vigilance 2099;;;Envoidant Studios;Envoidant Studios;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG'];2023;;;;;False
Carrier Command 2;;;Geometa;MicroProse Software;['Un solo jugador', 'Acción', 'Aventura', 'Simulación', 'Estrategia'];10 agosto 2021;10;1;Fuera de stock;;False
Car Mechanic Simulator 2021;;;Red Dot Games;PlayWay S.A.;['Un solo jugador', 'Carreras', 'Simulación', '\nGeForce Now\n'];11 agosto 2021;;0;Fuera de stock;;False
In Nightmare;;;Beijing Magic Fish Technology Co., Ltd.;Maximum Games;['Un solo jugador', 'Aventura', 'Indies'];29 noviembre 2022;;0;Fuera de stock;;False
Legions of Steel;12.72€;-36%;Studio Nyx;Slitherine Ltd.;['Un solo jugador', 'Estrategia'];16 julio 2015;;0;En stock;Descarga digital;False
The Unliving;9.37€;-45%;RocketBrush Studio;Team17 Digital;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG', 'Early Access'];7 noviembre 2022;;0;Fuera de stock;;False
Robin Hood: Hail to the King;5.26€;-8%;GameOn Production;Alawar Entertainment;['Un solo jugador', 'Aventura', 'Indies'];29 abril 2021;;0;En stock;Descarga digital;False
Inbento;1.24€;-75%;Afterburn;Afterburn;['Un solo jugador', 'Indies'];3 septiembre 2019;;0;Fuera de stock;;False
Kyn;3.63€;-82%;Tangrin Entertainment;Versus Evil;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG'];28 julio 2015;;0;Fuera de stock;;False
Cookie Clicker;;;DashNet;Playsaurus;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];1 septiembre 2021;10;2;Fuera de stock;;False
Frostpunk 2;;;11 bit studios;11 bit studios;['Un solo jugador', 'Simulación', 'Estrategia'];2023;;;;;False
Age of Empires III: Definitive Edition - The African Royals;5.60€;-44%;Forgotten Empires;Xbox Game Studios;['Un solo jugador', 'Estrategia', '\nDLC\n'];2 agosto 2021;;0;Fuera de stock;;False
Skin Deep;;;Blendo Games;Annapurna Interactive;['Un solo jugador', 'Acción', 'Indies'];2023;;;;;False
A Memoir Blue;3.54€;-53%;Cloisters Interactive;Annapurna Interactive;['Un solo jugador', 'Aventura', 'Indies'];24 marzo 2022;;0;En stock;Descarga digital;False
Adventure Time: Finn & Jake Investigations;1.01€;-90%;;;['Aventura'];1 diciembre 2015;;0;Fuera de stock;;False
Viking Heroes 2;3.85€;-32%;Yustas Games Studio;Alawar Entertainment;['Un solo jugador', 'Aventura', 'Indies', 'Estrategia'];29 julio 2021;;0;En stock;Descarga digital;False
Synthetic 2;;;Flow Fire Games;Flow Fire Games;['Un solo jugador', 'Acción', 'Indies', 'Early Access'];11 noviembre 2021;;0;Fuera de stock;;False
Recompile;8.50€;-57%;Phigames;Dear Villagers;['Un solo jugador', 'Acción', 'Aventura', 'Indies', '\nGeForce Now\n'];19 agosto 2021;;0;En stock;Descarga digital;False
CountryBalls Heroes;8.00€;-36%;Innominate Games;Games Operators;['Un solo jugador', 'Estrategia'];16 noviembre 2021;;0;En stock;Descarga digital;False
The Escapists The Walking Dead;3.18€;-79%;Team17 Digital Ltd;Team17 Digital Ltd;['Un solo jugador', 'Indies', 'Estrategia'];30 septiembre 2015;6;5;En stock;Descarga digital;False
Mayhem Brawler;;;Hero Concept;Hero Concept;['Un solo jugador', 'Acción', 'Indies'];19 agosto 2021;;0;Fuera de stock;;False
Cooking Simulator VR;11.18€;-33%;GameBoom VR;Big Cheese Studio;['Un solo jugador', 'Indies', 'Simulación'];29 julio 2021;8;5;Fuera de stock;;False
Skydrift Infinity;7.50€;-25%;Digital Reality;HandyGames;['Un solo jugador', 'Acción', 'Carreras'];29 julio 2021;;0;En stock;Descarga digital;False
Shiness: The Lightning Kingdom;2.30€;-77%;Enigami;Focus Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG'];18 abril 2017;8;3;En stock;Descarga digital;False
Marvel's Guardians of the Galaxy Deluxe Edition;26.54€;-62%;;;['Acción', 'Aventura', 'Un solo jugador'];26 octubre 2021;10;60;Fuera de stock;;False
A Total War Saga: TROY - Mythos - Europe;15.47€;-38%;Feral Interactive (Mac);Feral Interactive (Mac);['Un solo jugador', 'Acción', 'Simulación', 'Estrategia', '\nDLC\n'];2 septiembre 2021;;0;Fuera de stock;;False
The Origin: Blind Maid;8.18€;-59%;Waraní Studios;Waraní Studios;['Un solo jugador', 'Acción', 'Indies'];22 julio 2021;;0;En stock;Descarga digital;False
Noosphere;;;KOEX studio;KOEX studio;['Un solo jugador', 'Aventura', 'Indies'];23 julio 2021;;0;Fuera de stock;;False
NIght Book;;;Good Gate Media;Wales Interactive;['Un solo jugador', 'Aventura'];27 julio 2021;;0;Fuera de stock;;False
Edge Of Galaxy;4.74€;-36%;Kinderril;Meridian4;['Un solo jugador', 'Acción', 'Indies', 'RPG', 'Simulación', 'Estrategia'];22 julio 2021;;0;En stock;Descarga digital;False
Deepest Chamber;10.62€;-18%;Balcony Softworks;Those Awesome Guys;['Un solo jugador', 'Indies', 'RPG', 'Estrategia', 'Early Access', '\nGeForce Now\n'];22 julio 2021;;0;En stock;Descarga digital;False
A Way To Be Dead;;;Crania Games;Crania Games;['Un solo jugador', 'Aventura', 'Indies', 'Early Access'];23 julio 2021;;0;Fuera de stock;;False
Evan's Remains;4.46€;-22%;maitan69 (Matías Schmied);Whitethorn Games;['Un solo jugador', 'Aventura', 'Indies'];11 junio 2020;;0;En stock;Descarga digital;False
Gigapocalypse;7.00€;-30%;Goody Gameworks;Headup;['Un solo jugador', 'Acción', 'Indies'];12 noviembre 2021;;0;En stock;Descarga digital;False
Lost At Sea;10.48€;-30%;Studio Fizbin;Headup;['Un solo jugador', 'Aventura', 'Indies'];15 julio 2021;;0;En stock;Descarga digital;False
Into the Stars - Europe;1.41€;-93%;Fugitive Games;Iceberg Interactive;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Simulación', 'Estrategia'];4 marzo 2016;6;3;En stock;Descarga digital;False
Civilization V - Scenario Pack: Wonders of the Ancient World;1.20€;-66%;Aspyr (Linux);Aspyr (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];11 agosto 2011;;0;Fuera de stock;;False
Worms Rumble - Captain & Shark Double Pack;3.86€;-23%;Team17 Digital Ltd;Team17 Digital Ltd;['PvP online', 'Acción', 'Indies', 'Estrategia', '\nDLC\n'];17 diciembre 2020;;0;En stock;Descarga digital;False
Stronghold Crusader II: The Templar and The Duke;2.33€;-53%;FireFly Studios;FireFly Studios;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];1 julio 2015;;0;Fuera de stock;;False
Civilization V - Civ and Scenario Pack: Polynesia;1.46€;-58%;Aspyr (Linux);Aspyr (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];3 marzo 2011;;0;Fuera de stock;;False
Civilization V - Civ and Scenario Pack: Denmark (The Vikings);1.00€;-71%;Aspyr (Linux);Aspyr (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];3 mayo 2011;;0;Fuera de stock;;False
OMSI 2 Add-On Urbino Stadtbusfamilie;;;Christian Rolle;Aerosoft GmbH;['Un solo jugador', 'Simulación', '\nDLC\n'];7 febrero 2019;;0;Fuera de stock;;False
Legends of Eisenwald;2.27€;-89%;Aterdux Entertainment;Aterdux Entertainment;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia'];2 julio 2015;5;3;En stock;Descarga digital;False
OMSI 2 Add-On MAN DN95;;;Halycon Media;Halycon Media;['Un solo jugador', 'Simulación', '\nDLC\n'];27 noviembre 2019;;0;Fuera de stock;;False
OMSI 2 Add-on Hamburger Buspaket;;;Darius Bode;Aerosoft GmbH;['Un solo jugador', 'Simulación', '\nDLC\n'];15 marzo 2018;;0;Fuera de stock;;False
OMSI 2 Add-On E-Bus Hamburg;;;Darius Bode;Aerosoft GmbH;['Un solo jugador', 'Simulación', '\nDLC\n'];4 junio 2020;;0;Fuera de stock;;False
OMSI 2 Addon Citybus i260 Series;;;BusTrainz;Aerosoft GmbH;['Un solo jugador', 'Simulación', '\nDLC\n'];9 mayo 2019;;0;Fuera de stock;;False
Phantom Breaker: Battle Grounds;5.68€;-53%;MAGES. Inc.;Rocket Panda Games ;['Un solo jugador', 'Acción'];24 enero 2015;;0;En stock;Descarga digital;False
Zack 2: Celestine's Map;5.28€;-58%;SmartOliveGames Ltd;SmartOliveGames Ltd;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG'];11 marzo 2021;;0;En stock;Descarga digital;False
Guild of Darksteel;6.86€;-36%;Igor Sandman;Digerati;['Un solo jugador', 'Aventura', 'Indies', 'RPG'];15 julio 2021;;0;En stock;Descarga digital;False
Haak;12.82€;-14%;Blingame;OKJOY;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];25 agosto 2022;;0;En stock;Descarga digital;False
This War of Mine: Stories - The Last Broadcast;1.56€;-61%;11 bit studios;11 bit studios;['Un solo jugador', 'Aventura', 'Indies', 'Simulación', '\nDLC\n'];14 noviembre 2018;;0;En stock;Descarga digital;False
This War of Mine: Stories - Father's Promise;1.00€;-50%;11 bit studios;11 bit studios;['Un solo jugador', 'Aventura', 'Indies', 'Simulación', '\nDLC\n'];14 noviembre 2017;;0;En stock;Descarga digital;False
Resident Evil 5 - Untold Stories Bundle;3.28€;-78%;Capcom;Capcom;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];26 marzo 2015;;0;Fuera de stock;;False
Bridge Project;4.85€;-76%;Halycon Media GmbH & Co. KG;THQ Nordic;['Un solo jugador', 'Simulación'];28 marzo 2013;;0;En stock;Descarga digital;False
Farm Expert 2016;2.86€;-71%;Silden;PlayWay Inc;['Un solo jugador', 'Simulación'];19 junio 2015;6;8;En stock;Descarga digital;False
Tales from Candlekeep: Tomb of Annihilation;2.00€;-87%;BKOM Studios;BKOM Studios;['Un solo jugador', 'Aventura', 'RPG', 'Estrategia'];11 octubre 2017;;0;En stock;Descarga digital;False
Worms Rumble Armageddon Weapon Skin Pack;1.99€;-20%;Team17 Digital Ltd;Team17 Digital Ltd;['PvP online', 'Acción', 'Indies', 'Estrategia', '\nDLC\n'];17 diciembre 2020;;0;En stock;Descarga digital;False
Wartales;24.49€;-30%;Shiro Games;Shiro Unlimited;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', '\nGeForce Now\n'];12 abril 2023;10;14;Fuera de stock;;False
Survive the Fall;;;Angry Bulls Studio;Angry Bulls Studio;['Un solo jugador', 'Aventura', 'Indies', 'Estrategia'];2023;;;;;False
Falling Frontier;;;Stutter Fox Studios;Hooded Horse;['Un solo jugador', 'Simulación', 'Estrategia'];2023;;;;;False
Aztec Empire;;;Play2Chill S.A.;Play2Chill S.A.;['Un solo jugador', 'Simulación', 'Estrategia'];;;0;Fuera de stock;;False
Diluvian Winds;;;Alambik Studio;IndieArk;['Un solo jugador', 'Simulación', 'Estrategia'];2023;;;;;False
Renegade Ops Collection;6.00€;-65%;Avalanche Studios;SEGA;['Un solo jugador', 'Acción'];27 octubre 2011;9;3;En stock;Descarga digital;False
Hitman 2 - Silver to Gold Upgrade;6.49€;-68%;Io-Interactive A/S;Io-Interactive A/S;['Un solo jugador', 'Acción', '\nDLC\n'];30 julio 2019;;0;Fuera de stock;;False
King's Bounty: Armored Princess;2.49€;-75%;Katauri Interactive;Fulqrum Publishing;['Un solo jugador', 'RPG', 'Estrategia'];19 noviembre 2009;;0;En stock;Descarga digital;False
Super Robot Wars 30;16.75€;-66%;B.B.STUDIO CO.,LTD.;BANDAI NAMCO Entertainment;['Un solo jugador', 'RPG', 'Simulación', 'Estrategia'];27 octubre 2021;10;1;En stock;Descarga digital;False
NBA 2K22 NBA 75Th Anniversary Edition - Europe;22.99€;-77%;Visual Concepts;2K;['Un solo jugador', 'Simulación', 'Deporte'];10 septiembre 2021;6;52;Fuera de stock;;False
Space Channel 5: Part 2;3.99€;-50%;SEGA;SEGA;['Un solo jugador', 'Acción'];4 marzo 2011;;0;Fuera de stock;;False
Romance of the Three Kingdoms XIII;38.16€;-36%;KOEI TECMO GAMES CO., LTD.;KOEI TECMO GAMES CO., LTD.;['Un solo jugador', 'Simulación'];27 enero 2016;;0;En stock;Descarga digital;False
RoboCop: Rogue City;;;Teyon;Nacon;['Un solo jugador', 'Acción', 'Aventura'];2023;;;;;False
Workers & Resources: Soviet Republic;;;3Division;3Division;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia', 'Early Access'];;10;1;Fuera de stock;;False
The Swords of Ditto: Mormo's Curse;1.46€;-90%;onebitbeyond;Devolver Digital;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG'];24 abril 2018;;0;Fuera de stock;;False
The Legend of Heroes: Trails into Reverie;;;Nihon Falcom;NIS America, Inc.;['Un solo jugador', 'RPG'];7 julio 2023;;;;;False
The Legend of Heroes: Trails to Azure;;;PH3 GmbH;NIS America, Inc.;['Un solo jugador', 'RPG'];14 marzo 2023;;0;Fuera de stock;;False
The Legend of Nayuta: Boundless Trails;;;PH3 GmbH;NIS America, Inc.;['Un solo jugador', 'Acción', 'RPG'];10 diciembre 2021;;0;;;False
Bright Memory: Infinite;15.89€;-5%;FYQD-Studio;FYQD-Studio;['Un solo jugador', 'Acción', 'Indies', '\nGeForce Now\n'];12 noviembre 2021;;0;;;False
Prison Tycoon: Under New Management;6.69€;-60%;Abylight Studios;Ziggurat;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];10 diciembre 2021;;0;Fuera de stock;;False
Warhammer: Chaosbane - Witch Hunter;7.37€;-26%;Eko Software;Nacon;['Un solo jugador', 'Acción', 'Aventura', 'RPG', '\nDLC\n'];10 noviembre 2020;;0;En stock;Descarga digital;False
TaniNani;3.05€;-24%;WhyKev;WhyKev;['Un solo jugador', 'Indies'];23 enero 2020;;0;Fuera de stock;;False
Final Fantasy Pixel Remaster;8.77€;-27%;Square Enix;Square Enix;['Un solo jugador', 'RPG'];28 julio 2021;9;1;Fuera de stock;;False
Hoplegs;10.49€;-30%;WhyKev;WhyKev;['Un solo jugador', 'Indies'];12 noviembre 2021;;0;Fuera de stock;;False
Homefront: The Revolution - Aftermath;2.46€;-59%;Dambuster Studios;Deep Silver;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];9 noviembre 2016;;0;En stock;Descarga digital;False
Homefront: The Revolution - Beyond the Walls;5.05€;-70%;Dambuster Studios;Deep Silver;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];8 marzo 2017;;0;En stock;Descarga digital;False
F.I.S.T.: Forged In Shadow Torch;;;TiGames;bilibili;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG', 'Simulación', 'Deporte', '\nGeForce Now\n'];3 octubre 2021;;0;Fuera de stock;;False
Final Fantasy III Pixel Remaster;6.50€;-64%;Square Enix;Square Enix;['Un solo jugador', 'RPG'];28 julio 2021;;0;Fuera de stock;;False
Final Fantasy II Pixel Remaster;8.93€;-26%;Square Enix;Square Enix;['Un solo jugador', 'RPG'];28 julio 2021;;0;Fuera de stock;;False
Creature in the Well;6.52€;-48%;Flight School Studio;Flight School Studio;['Un solo jugador', 'Acción', 'Indies'];6 septiembre 2019;;0;En stock;Descarga digital;False
Tamarin - Deluxe Edition;21.98€;-45%;Chameleon Games;Chameleon Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];10 septiembre 2020;;0;Fuera de stock;;False
Ys IX: Monstrum Nox Digital Deluxe Edition;41.84€;-44%;;;['Acción', 'RPG', 'Un solo jugador'];6 julio 2021;9;2;En stock;Descarga digital;False
SkateBIRD;;;Glass Bottom Games;Glass Bottom Games;['Un solo jugador', 'Indies', 'Carreras', 'Simulación', 'Deporte'];16 septiembre 2021;;0;Fuera de stock;;False
Hard West: Scars of Freedom;1.00€;-67%;CreativeForge Games;Good Shepherd Entertainment;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', '\nDLC\n'];3 marzo 2016;;0;Fuera de stock;;False
Pumped BMX +;3.41€;-66%;Yeah Us!;Curve Games;['Un solo jugador', 'Indies', 'Deporte'];18 septiembre 2015;;0;En stock;Descarga digital;False
Civilization V - Civilization and Scenario Double Pack: Spain and Inca;1.32€;-74%;Aspyr (Linux);Aspyr (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];16 diciembre 2010;;0;Fuera de stock;;False
Civilization V - Cradle of Civilization Map Pack: Americas;1.00€;-67%;Aspyr (Linux);Aspyr (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];1 diciembre 2010;;0;Fuera de stock;;False
Civilization V - Civilization and Scenario Pack: Korea;1.00€;-71%;Aspyr (Linux);Aspyr (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];11 agosto 2011;;0;Fuera de stock;;False
Live by the Sword: Tactics;12.94€;-13%;Labrador Studios;Labrador Studios;['Un solo jugador', 'Indies', 'RPG', 'Estrategia'];28 octubre 2022;;0;Fuera de stock;;False
Huntfeast;7.95€;-3%;MISVNTHROPE;Glacier eood;['Un solo jugador', 'Acción', 'Aventura', 'Early Access'];21 junio 2021;;0;Fuera de stock;;False
Soulstice;9.97€;-75%;Reply Game Studios;Modus Games;['Un solo jugador', 'Acción', 'Aventura'];20 septiembre 2022;;0;Fuera de stock;;False
AI : The Somnium Files - nirvanA Initiative;;;Spike Chunsoft Co., Ltd.;Spike Chunsoft Co., Ltd.;['Un solo jugador', 'Aventura'];24 junio 2022;;0;Fuera de stock;;False
Unforgiving - A Northern Hymn;1.45€;-90%;Angry Demon Studio;Angry Demon Studio;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];27 noviembre 2017;;0;Fuera de stock;;False
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles: Digital Deluxe Edition - Europe;25.55€;-63%;CyberConnect2;SEGA;['Un solo jugador', 'Acción', 'Aventura'];15 octubre 2021;10;43;Fuera de stock;;False
Itta;5.86€;-60%;Glass Revolver;Armor Games Studios;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];22 abril 2020;;0;En stock;Descarga digital;False
Zombotron;5.68€;-55%;Ant.Karlov;Ant.Karlov;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];22 abril 2019;10;1;Fuera de stock;;False
Don't Escape: 4 Days to Survive;2.01€;-86%;scriptwelder;Armor Games Studios;['Un solo jugador', 'Aventura', 'Indies'];11 marzo 2019;;0;En stock;Descarga digital;False
Crazy Taxi;4.73€;-41%;SEGA;SEGA;['Un solo jugador', 'Acción', 'Carreras'];4 marzo 2011;;0;Fuera de stock;;False
Clouds & Sheep 2;2.40€;-80%;HandyGames;HandyGames;['Un solo jugador', 'Simulación'];24 octubre 2016;;0;En stock;Descarga digital;False
Crimesight;9.19€;-8%;Konami Digital Entertainment;Konami Digital Entertainment;['PvP online', 'Simulación', 'Estrategia'];14 abril 2022;;0;Fuera de stock;;False
Armored Brigade;17.55€;-48%;Veitikka Studios;Slitherine Ltd.;['Un solo jugador', 'Simulación', 'Estrategia'];15 noviembre 2018;;0;En stock;Descarga digital;False
HighFleet;;;Konstantin Koshutin;MicroProse Software;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Estrategia'];27 julio 2021;;0;Fuera de stock;;False
Idol Manager;;;Glitch Pitch;PLAYISM;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];27 julio 2021;;0;Fuera de stock;;False
Make Your Kingdom;6.99€;-44%;yo_serjio;BigGame Publishing;['Un solo jugador', 'Aventura', 'Indies', 'Simulación', 'Estrategia'];20 enero 2022;;0;Fuera de stock;;False
Natural Instincts;;;DreamStorm Studios;Games Operators;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia', 'Early Access'];22 julio 2021;;0;Fuera de stock;;False
